# gunzip -c exp/mono_ali_train_clean_5/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_nosp 
# Started at Fri Apr 14 06:34:42 CDT 2023
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,31.8,55) frames.
Overall, IY1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,21) frames.
Overall, IH0_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
Overall, P_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, AO1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,21) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,22) frames.
Overall, AY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.8,25) frames.
Overall, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,19) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,18) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,16) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.6,9) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,12) frames.
Overall, ER0_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,18) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,17) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,14) frames.
Overall, R_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,15) frames.
Overall, AH0_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,21) frames.
Overall, IH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,12) frames.
Overall, K_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,16) frames.
The optional-silence phone SIL occupies 21.9% of frames overall 
Limiting the stats to the 95.2% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 18.0% of frames.
Assuming 100 frames per second, the alignments represent 5.3 hours of data, or 4.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.9% of utterance-internal phones, with duration (median, mean, 95-percentile) = (36,43.3,113)
# Accounting: time=1 threads=1
# Ended (code 0) at Fri Apr 14 06:34:43 CDT 2023, elapsed time 1 seconds
